Problem;Kodierung;k;middletime;endtime;numClauses;status
DigiTomo_H-Tree;NetworksOwnSorting;5;0.038;2.095;.03552;SATISFIABLE;
DigiTomo_H-Tree;NetworksOwnSorting;10;0.152;1.912;.23024;SATISFIABLE;
DigiTomo_H-Tree;NetworksOwnSorting;15;0.147;1.372;.41084;SATISFIABLE;
DigiTomo_H-Tree;NetworksOwnSorting;20;0.696;3.54;1.46084;SATISFIABLE;
DigiTomo_H-Tree;NetworksOwnSorting;25;0.685;0;2.12562;TIMEOUT;
DigiTomo_H-Tree;NetworksOwnSorting;30;1.43;0;2.641;TIMEOUT;
DigiTomo_H-Tree;NetworksOwnSorting;35;1.877;0;6.45568;TIMEOUT;
DigiTomo_H-Tree;NetworksOwnSorting;40;4.864;0;8.54598;TIMEOUT;
DigiTomo_H-Tree;NetworksOwnSorting;45;4.034;0;10.12694;TIMEOUT;
DigiTomo_H-Tree;NetworksOwnSorting;50;4.328;0;12.2036;TIMEOUT;
DigiTomo_H-Tree;NetworksOwnSorting;55;8.127;0;13.72162;TIMEOUT;
DigiTomo_H-Tree;NetworksOwnSorting;60;8.648;0;15.58226;TIMEOUT;
DigiTomo_H-Tree;NetworksOwnSorting;65;12.802;0;31.13984;TIMEOUT;
DigiTomo_H-Tree;NetworksOwnSorting;70;15.933;0;35.2545;TIMEOUT;
