Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
Queensproblem;NetworksOwnSorting;5;41;102;2.0086001717619175;4742;3.675961549642169;SATISFIABLE;
Queensproblem;NetworksOwnSorting;10;170;351;2.545307116465824;29308;4.466986182866968;SATISFIABLE;
Queensproblem;NetworksOwnSorting;15;296;950;2.9777236052888476;65674;4.817393468625396;SATISFIABLE;
Queensproblem;NetworksOwnSorting;20;671;2195;3.34143452457814;177320;5.248757722627297;SATISFIABLE;
Queensproblem;NetworksOwnSorting;25;1133;4775;3.678973375919765;370886;5.569240440129636;SATISFIABLE;
Queensproblem;NetworksOwnSorting;30;1337;8353;3.921842481405858;391152;5.592345555179623;SATISFIABLE;
Queensproblem;NetworksOwnSorting;35;3159;18841;4.275103949569196;961504;5.982951095308055;SATISFIABLE;
Queensproblem;NetworksOwnSorting;40;3526;18508;4.267359490827859;1030956;6.0132401304969285;SATISFIABLE;
Queensproblem;NetworksOwnSorting;45;4747;20852;4.319147716254982;1080164;6.033489698901588;SATISFIABLE;
Queensproblem;NetworksOwnSorting;50;7409;55618;4.745215367761139;2133652;6.329123587157759;SATISFIABLE;
Queensproblem;NetworksOwnSorting;55;8963;46438;4.66687350719772;2197728;6.341973941313682;SATISFIABLE;
Queensproblem;NetworksOwnSorting;60;8647;45436;4.657400090872144;2244514;6.351122318627752;SATISFIABLE;
Queensproblem;NetworksOwnSorting;65;20057;219592;5.341616514197263;5192770;6.7153990870967055;SATISFIABLE;
Queensproblem;NetworksOwnSorting;70;20860;184962;5.267082512805897;5388482;6.731466436452899;SATISFIABLE;
