Problem;Kodierung;k;avgtime;logavgtime;avgclauses;logavgClauses
SynthTests;NetworksOwnSorting;250;1645.8;3.216377057988173;22827.0;4.358448838820213
SynthTests;NetworksOwnSorting;500;1041.0;3.017450729510536;72744.6;4.8618007601700475
SynthTests;NetworksOwnSorting;750;1351.4;3.130783914588956;174586.4;5.242010409844937
SynthTests;NetworksOwnSorting;1000;1987.4;3.2982852854840843;297944.4;5.474135227075945
SynthTests;NetworksOwnSorting;1250;4931.4;3.6929702308311168;440684.8;5.644128071181649
SynthTests;NetworksOwnSorting;1500;4107.0;3.6135247028536526;571683.2;5.757155429831029
SynthTests;NetworksOwnSorting;1750;9275.4;3.9673326475643806;698607.6;5.844233305922454
SynthTests;NetworksOwnSorting;2000;6126.2;3.7871911709685198;883464.0;5.946188857272451
SynthTests;NetworksOwnSorting;2250;8905.8;3.94967293783409;1159534.4;6.06428363741434
SynthTests;NetworksOwnSorting;2500;15784.0;4.198217072244135;1547346.2;6.189587492709435
SynthTests;NetworksOwnSorting;2750;6640.0;3.8221680793680175;1826851.8;6.261703317438586
SynthTests;NetworksOwnSorting;3000;17850.4;4.251647952428401;2129404.0;6.328258065536767
SynthTests;NetworksOwnSorting;3250;7680.6;3.885395147962618;2438825.6;6.387180745100245
SynthTests;NetworksOwnSorting;3500;8839.6;3.9464326132344367;2788352.4;6.445347660281014
SynthTests;NetworksOwnSorting;3750;10217.6;4.0093488968593505;2801789.0;6.447435425886905
SynthTests;NetworksOwnSorting;4000;18825.2;4.274739598866629;3085924.2;6.489385254220315
SynthTests;NetworksOwnSorting;4250;11036.6;4.042835302681191;3321085.8;6.521280095708354
SynthTests;NetworksOwnSorting;4500;14582.8;4.163840919578611;3735592.8;6.572359529669619
SynthTests;NetworksOwnSorting;4750;13594.8;4.1333728228440565;4020664.4;6.604297824579978
SynthTests;NetworksOwnSorting;5000;15108.8;4.179229972342086;4264229.0;6.629840519368857
